trade_id,source_row,date,entry_time,entry_price,side,result,trades_per_post,message_id,discord_url,open_discord,timestamp,date_in_text,tickers,priority,side_hint,result_hint,points_hint,attachment_count,attachment_file_names,attachment_paths,youtube_links,content,sl,tp,missing_entry_time,missing_entry_price,missing_side,missing_result,approx_entry_dt,match_status,matched_dt,matched_open,matched_high,matched_low,matched_close,price_inside_bar,price_distance,time_distance_min,match_score,dol_proxy,dol_distance,dol_relation,recent_bull_fvg_low,recent_bull_fvg_high,recent_bull_fvg_dist,recent_bear_fvg_low,recent_bear_fvg_high,recent_bear_fvg_dist,nearest_fvg_dir,nearest_fvg_dist,liquidity_sweep_proxy,displacement_ratio,displacement_candle,pre_10m_drive_points,post_10m_reclaim_points,v_shape_score_proxy,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_30m,mae_30m,mfe_60m,mae_60m
ICT_19910,39,2025-05-01,11:31:00,19967.5,long,win,1.0,1367627023278936105,https://discord.com/channels/1316750175930421389/1316750177528315931/1367627023278936105,Open Discord,45778.93161609954,5/1/25,NQ,B - NQ context/outlook candidate,long,5W-1L,60.0,1,Trade_Review_Trim.mp4,recaps.json_Files\Trade_Review_Trim-38ac961d41f5777f.mp4,,**5/1/25 1st Day of May! | **+60pts on NQ Longs** | *1 BE 1 Winner* | @everyone,19910.0,20125.0,False,False,False,False,2025-05-01 11:31:00,matched,2025-05-01 11:27:00,19993.75,19996.5,19985.75,19989.0,False,18.25,4.0,58.75,19917.75,49.75,above_dol,20021.0,20021.75,53.875,19991.75,19995.25,26.0,bear,26.0,False,1.3148788927335642,False,-15.75,45.5,61.25,45.5,-18.75,45.5,-18.75,59.5,-18.75,68.25,-18.75
ICT_21225,40,2025-05-27,08:48:00,21246.0,long,win,1.0,1377057361453252660,https://discord.com/channels/1316750175930421389/1316750177528315931/1377057361453252660,Open Discord,45804.954391886575,5/27/25,NQ,A - NQ trade/review candidate,long,5W-27L,119.0,0,,,"https://youtu.be/n86nXDErEZs,https://www.youtube.com/watch?v=n86nXDErEZs",**Trade Review 5/27/25** | 119pts on NQ Longs | Full Breakdown on YouTube | Oh and watch the intro to this video 😂 | https://youtu.be/n86nXDErEZs | @everyone | PJ RETURNS WITH A 119PT LONG ON NQ! | ICT CONCEPTS | Welcome back from the long holiday weekend. We didnt waste anytime getting back into the swing of things. Today we breakdown the IFVG setup that netted us 119pts on NQ! | | Join my FREE Discord! | https://whop.com/pjtradesfree/ | | Join Premium! | https://whop.com/pjtradespremium/ | | Current Prop Firm Sales! | USE CODE: PJ FOR MAX DISCOUNT | | MyFundedFutures ... | https://www.youtube.com/watch?v=n86nXDErEZs,21225.0,21315.0,False,False,False,False,2025-05-27 08:48:00,matched,2025-05-27 08:51:00,21300.5,21306.25,21298.5,21304.25,False,52.5,3.0,160.5,21236.25,9.75,above_dol,21316.0,21316.5,70.25,21307.25,21317.0,66.125,bear,66.125,True,0.8264462809917356,False,-22.75,73.5,96.25,69.5,-58.0,73.5,-58.0,104.5,-58.0,107.0,-58.0
ICT_22771,41,2025-07-02,09:52:00,25806.75,long,win,1.0,1390046022088130703,https://discord.com/channels/1316750175930421389/1316750177528315931/1390046022088130703,Open Discord,45840.79626703704,7/2/25,"ES,NQ",A - NQ trade/review candidate,,7W-2L,6.5,2,"image.png,image.png","recaps.json_Files\image-42b34517e45e0c4a.png,recaps.json_Files\image-35a909a3f8a63e07.png",,**7/2/25 Trade Review** | | 1-1 Today | | Trade #1 on ES | -6.5pt stop out | | Trade #2 on NQ | 90% scaled out at **30pts** last micro runner stopped at BE. | | Overall small green day 🟢 | @everyone,22771.75,22850.0,False,False,False,False,2025-07-02 09:52:00,matched,2025-07-02 09:53:00,22713.5,22715.75,22713.5,22715.0,False,3091.0,1.0,9274.0,22709.75,3097.0,above_dol,22712.75,22713.0,3093.875,22707.0,22713.25,3096.625,bull,3093.875,False,0.7017543859649122,False,2.5,-3091.5,-3091.5,-3091.5,3098.5,-3091.5,3100.0,-3089.0,3106.5,-3089.0,3131.75
ICT_24010,42,2025-08-14,09:50:00,23987.25,short,win,1.0,1405582450901651671,https://discord.com/channels/1316750175930421389/1316750177528315931/1405582450901651671,Open Discord,45883.66864298612,8/14/2025,"NQ,ES",A - NQ trade/review candidate,mixed,8W-14L,10.0,1,image.png,recaps.json_Files\image-a53beb5a670c6255.png,,"📅 ** 8/14/2025 Trade Review** | | **3 Trades Today** | | 1 | BE | 1 | -10pts | 1 | **+98pts ** | | Pretty active session for us. Both reads were correct. The long idea we took earlier in the session played out but the delivery was so slow on the 2 entries we took. I took a breakeven and then took a small -10pt loss. After that the market setup for a clean short setup after taking 8:30am data wick highs on both NQ/ES forming a V-shape recovery out of a 1HR Bearish FVG. We took entry on the 1M IFVG setup targeting the REL at 23,897 and the unmitigated 5M FVG as a DOL. | | **A banger trade putting us at 113 points on the week** 🔥 | | @everyone",24010.0,23873.0,False,False,False,False,2025-08-14 09:50:00,matched,2025-08-14 09:48:00,23933.75,23934.5,23931.5,23931.5,False,52.75,2.0,160.25,23950.0,37.25,above_dol,23931.75,23932.75,55.0,23934.5,23935.25,52.375,bear,52.375,False,2.4324324324324325,True,-0.75,63.75,63.75,61.25,-55.75,63.75,-55.75,68.5,-55.75,68.5,-50.75
ICT_23965,43,2025-09-11,09:52:00,23990.25,long,win,1.0,1415728494427766914,https://discord.com/channels/1316750175930421389/1316750177528315931/1415728494427766914,Open Discord,45911.66638929398,9/11/25,NQ,A - NQ trade/review candidate,,9W-11L,54.0,1,image.png,recaps.json_Files\image-78abd7b5f25518f1.png,,"📅 **9/11/25 Trade Review ** | | My heart is heavy today. As we remember the lives lost on 9/11, we’re also faced with the pain of this week’s tragedies the heartbreaking loss of a young Ukrainian girl, the murder of Charlie Kirk, and the innocent children taken in Colorado. Before the trading day started, we took a** moment of silence to honor all the lives lost**. To the families and communities grieving, you are in my thoughts and prayers. May we honor their memory by choosing compassion, unity, and love in the face of darkness. | | 1-0 Today | **+54pts ** | | NQ has been teasing ATH for awhile now and we finally got a strong break out above the old 5M Bearish FVG that has held for multiple days. We waited for the market to confirm this flip and pull back into a 5m bullish fvg. After we got that the market gave us a clean rejection and we took entry out of the 5m bullish gap. | | TP 1 was our BE point | TP2 = 90% out | | Last runner was stopped in profit. | | The streak is alive. | | God Bless | | @everyone",23965.0,24044.0,False,False,False,False,2025-09-11 09:52:00,matched,2025-09-11 09:56:00,23919.0,23921.5,23919.0,23920.5,False,68.75,4.0,210.25,23900.25,90.0,above_dol,23918.75,23919.0,71.375,23920.75,23922.0,68.875,bear,68.875,False,1.3333333333333333,False,8.75,-57.25,-57.25,-67.25,72.25,-57.25,72.25,-51.25,72.25,-40.5,72.25
ICT_26156,44,2025-11-03,10:15:00,26131.75,short,win,1.0,1434934210761719980,https://discord.com/channels/1316750175930421389/1316750177528315931/1434934210761719980,Open Discord,45964.66406983796,11/03/25,NQ,A - NQ trade/review candidate,,11W-3L,45.0,1,image.png,recaps.json_Files\image-02180060320d9bb3.png,,📅 **11/03/25 Trade Review** | | 1-0 | | Easy continuation model into the external low and unmitigated 1hr fvg. $0 DD trade for 45pts on NQ | | +$3200 🔥 | | @everyone,26156.0,26086.0,False,False,False,False,2025-11-03 10:15:00,matched,2025-11-03 10:15:00,26133.25,26135.25,26131.5,26135.25,True,0.0,0.0,0.0,26081.75,50.0,above_dol,26131.75,26133.0,0.625,,,,bull,0.625,False,0.9142857142857143,False,4.0,0.0,4.0,0.0,7.5,0.0,12.75,3.75,23.0,3.75,36.75
ICT_25615,45,2025-12-04,09:46:00,25599.0,short,win,1.0,1446181267686297722,https://discord.com/channels/1316750175930421389/1316750177528315931/1446181267686297722,Open Discord,45995.70003431713,12/04/25,NQ,A - NQ trade/review candidate,short,12W-4L,84.0,1,image.png,recaps.json_Files\image-483f72d1dd3704d0.png,,📅 **12/04/25 Trade Review** | | **1st Trade of December +84pts on NQ Shorts** 🔥 | | This was a CLEAN trade for me. Price showing signs that bears were in control all morning. We waited PATIENTLY for the market to form a 15M SIBI. We then waited for price to pull back in to said 15M SIBI. Saw rejection and weakness inside this gap. Located a clean 5M IFVG. Took entry and targeted External lows. Trade had 0 DD. | | Join the #1 Futures Trading Floor in the world #✅┆get-access | @everyone,25615.0,25515.25,False,False,False,False,2025-12-04 09:46:00,matched,2025-12-04 09:48:00,25678.5,25678.5,25673.75,25677.75,False,74.75,2.0,226.25,25647.5,-48.5,below_dol,25646.25,25650.0,49.125,25682.25,25683.5,83.875,bull,49.125,False,0.22140221402214022,False,9.75,-78.0,-68.25,-78.0,89.75,-78.0,91.5,-71.75,92.25,-49.25,92.25
ICT_25644,47,2026-02-03,09:09:00,25600.5,short,win,1.0,1468331408933130404,https://discord.com/channels/1316750175930421389/1316750177528315931/1468331408933130404,Open Discord,46056.82277972222,2/03/26,"ES,NQ",A - NQ trade/review candidate,long,2W-3L,9.0,3,"image.png,image.png,image.png","recaps.json_Files\image-e74a7f268630c61e.png,recaps.json_Files\image-133ec92a68791d18.png,recaps.json_Files\image-c47ba33bbd74ab08.png",,"📅 **2/03/26 Trade Review** | | • ES: 1 Loss → -9 pts | • NQ: 1 Winner → +62 pts | | ES held up well during the AM session and initially looked strong for longs — 4H FVG tap, V-shape reaction, IFVG alignment, clean structure, and DOLs resting above. Unfortunately, no follow through and the setup failed. | | Once price began breaking down, it was clear we were shifting into continuation territory. Focus moved to NQ, which was the weaker index on the session. | | We were looking for a pullback into the 5M FVG, but price never delivered it. Instead, we saw an IFVG form, followed by a clean retrace back into it. Entry taken → price expands straight into the NY AM Low DOL for +62 pts. | | After that first target, many in the server re-entered and caught the next leg down for 120+ pts. | | Another green day | @everyone",25644.0,25535.75,False,False,False,False,2026-02-03 09:09:00,matched,2026-02-03 09:13:00,25982.25,25983.0,25975.0,25976.5,False,374.5,4.0,1127.5,25947.75,-347.25,below_dol,25979.5,25987.75,383.125,25976.75,25977.0,376.375,bear,376.375,False,1.0772833723653394,False,-3.5,-367.75,-367.75,-372.5,386.75,-367.75,386.75,-357.75,386.75,-357.75,389.5
ICT_25070,48,2026-02-26,10:15:00,25037.0,short,loss,3.0,1476631353696059596,https://discord.com/channels/1316750175930421389/1316750177528315931/1476631353696059596,Open Discord,46079.72626394676,2/26/26,NQ,A - NQ trade/review candidate,short,2W-26L,78.0,1,image.png,recaps.json_Files\image-0e174e442023bcbc.png,,"📅 **2/26/26 Trade Review** | | A battle with NQ Today | | 3 Trades! | | 2 Losses | 1 Winner (Full Leg) | | Was waiting for a continuation model after the massive sell off on NQ today. Was early on trade #1 but would take that idea 10/10. | | Trade 1 - 15m tap, 1m IFVG 3M IFVG. Entered shorts. Stopped -30 | Trade 2- Would of been a top tick but didnt LOVE the recovery after the 1m IFVG. Took a -10SL to re-evaulate. | Trade 3- Full confirmation now. CISD, Unicorn Breaker formation. Waited on tap into Unicorn. Perfect entry with targets at 5m FVG which was unmitigated all session. Fully out +78pts | | Overall +38pts on the session. ✅ | @everyone",25070.0,24960.0,False,False,False,False,2026-02-26 10:15:00,matched,2026-02-26 10:19:00,25377.75,25378.25,25372.75,25377.0,False,335.75,4.0,1011.25,25315.75,-278.75,below_dol,,,,25381.5,25382.0,344.75,bear,344.75,False,0.3468208092485549,False,-2.75,-325.25,-325.25,-327.25,342.5,-325.25,342.5,-316.25,342.5,-308.25,342.5
ICT_25070,49,2026-02-26,10:27:00,25052.0,short,loss,3.0,1476631353696059596,https://discord.com/channels/1316750175930421389/1316750177528315931/1476631353696059596,Open Discord,46079.72626394676,2/26/26,NQ,A - NQ trade/review candidate,short,2W-26L,78.0,1,image.png,recaps.json_Files\image-0e174e442023bcbc.png,,"📅 **2/26/26 Trade Review** | | A battle with NQ Today | | 3 Trades! | | 2 Losses | 1 Winner (Full Leg) | | Was waiting for a continuation model after the massive sell off on NQ today. Was early on trade #1 but would take that idea 10/10. | | Trade 1 - 15m tap, 1m IFVG 3M IFVG. Entered shorts. Stopped -30 | Trade 2- Would of been a top tick but didnt LOVE the recovery after the 1m IFVG. Took a -10SL to re-evaulate. | Trade 3- Full confirmation now. CISD, Unicorn Breaker formation. Waited on tap into Unicorn. Perfect entry with targets at 5m FVG which was unmitigated all session. Fully out +78pts | | Overall +38pts on the session. ✅ | @everyone",25070.0,24960.0,False,False,False,False,2026-02-26 10:27:00,matched,2026-02-26 10:27:00,25367.0,25367.25,25362.25,25364.0,False,310.25,0.0,930.75,25315.75,-263.75,below_dol,,,,25369.75,25375.75,320.75,bear,320.75,False,1.256544502617801,False,-11.0,-305.0,-305.0,-309.25,321.25,-305.0,321.25,-295.5,321.25,-293.25,321.25
ICT_25070,50,2026-02-26,10:40:00,24035.0,short,win,3.0,1476631353696059596,https://discord.com/channels/1316750175930421389/1316750177528315931/1476631353696059596,Open Discord,46079.72626394676,2/26/26,NQ,A - NQ trade/review candidate,short,2W-26L,78.0,1,image.png,recaps.json_Files\image-0e174e442023bcbc.png,,"📅 **2/26/26 Trade Review** | | A battle with NQ Today | | 3 Trades! | | 2 Losses | 1 Winner (Full Leg) | | Was waiting for a continuation model after the massive sell off on NQ today. Was early on trade #1 but would take that idea 10/10. | | Trade 1 - 15m tap, 1m IFVG 3M IFVG. Entered shorts. Stopped -30 | Trade 2- Would of been a top tick but didnt LOVE the recovery after the 1m IFVG. Took a -10SL to re-evaulate. | Trade 3- Full confirmation now. CISD, Unicorn Breaker formation. Waited on tap into Unicorn. Perfect entry with targets at 5m FVG which was unmitigated all session. Fully out +78pts | | Overall +38pts on the session. ✅ | @everyone",25070.0,24958.0,False,False,False,False,2026-02-26 10:40:00,matched,2026-02-26 10:38:00,25356.75,25360.5,25353.25,25360.5,False,1318.25,2.0,3956.75,25315.75,-1280.75,below_dol,25363.5,25369.25,1331.375,25363.5,25364.5,1329.0,bear,1329.0,False,1.4218009478672984,False,-9.0,-1321.75,-1321.75,-1321.75,1335.5,-1321.75,1335.5,-1310.25,1335.5,-1310.25,1335.5
ICT_24792,51,2026-03-06,09:40:00,24836.0,long,loss,2.0,1479529433332191373,https://discord.com/channels/1316750175930421389/1316750177528315931/1479529433332191373,Open Discord,46087.723440208334,3/6/26,"ES,NQ",A - NQ trade/review candidate,mixed,3W-6L,117.0,2,"image.png,image.png","recaps.json_Files\image-f2e28f598c7f59c5.png,recaps.json_Files\image-882e953920317572.png",,"📅 **3/6/26 Trade Review** | | Traded the live account today after hitting max consistency on the Lucid Pros last night. | | 3 Trades | ❌ 2 Losses | ✅ 1 Full TP (+117 pts) | | **Trade 1 – ES Short** | Took this based on bearish SMT, 1m IFVG, and clean DOL lower. | Price caught support at the lower 1m FVG so I cut the idea early for -10. Good decision because it would’ve gone to full SL. | | **Trade 2 – NQ Long** | After confirming a bottom formation, focus shifted to Data Wick Highs. | Entry came off a 30s IFVG delivering from the 5m bullish gap looking for continuation. Timing was off and the market wanted a ~140pt pullback. | Full SL (-40). | | **Trade 3 – NQ Long** | You have to reset quickly and stay objective. | After that deep retracement the market printed a sharp V Shape reversal with IFVG, and I took advantage of it with targets still at Data Wick Highs. | | **Full TP (+117 pts).** | | 📊 **Key takeaway** | | These sessions have been very choppy and “herky-jerky.” It’s been taking a few attempts to sync with the market’s timing. | | Yesterday I started 0-3, then after stream caught two clean trades to finish green on my Lucids. | | Today started 0-2, then caught the full exp",24792.5,24908.0,False,False,False,False,2026-03-06 09:40:00,matched,2026-03-06 09:40:00,24917.25,24919.75,24906.5,24918.0,False,70.5,0.0,211.5,25059.75,-223.75,below_dol,,,,24951.25,24952.0,115.625,bear,115.625,True,0.12684989429175478,False,-54.0,99.25,153.25,99.25,-72.75,99.25,-46.25,129.0,-46.25,145.0,-46.25
